Index1,Index2,Word1,Word2,X_Position,Cosine_Similarity
[2],[3],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",214,0.2132287977
[2],[4],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",214,0.1758900677
[2],[5],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",214,0.1680321664
[2],[6],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",214,0.1962395204
[3],[0],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",321,0.1600326582
[3],[1],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",321,0.1598682545
[3],[2],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",321,0.1410908237
[3],[3],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",321,0.2059262234
[3],[4],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",321,0.1687777555
[3],[5],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",321,0.1738711868
[3],[6],"hieroglyphic inscriptions found within the pyramid's chambers provide insights into the civilization's religious beliefs and cultural practices.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",321,0.1532461123
[4],[0],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",428,0.1639025831
[4],[1],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",428,0.1409605696
[4],[2],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",428,0.1304168432
[4],[3],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",428,0.1773911999
[4],[4],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",428,0.1846540923
[4],[5],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",428,0.1490213747
[4],[6],"the egyptians believed in an afterlife,and the pyramid served as a royal tomb to facilitate the pharaohs journey beyond death.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",428,0.1331077977
[5],[0],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",536,0.2315280256
[5],[1],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",536,0.1690482101
[5],[2],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",536,0.2016559536
[5],[3],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",536,0.2272927274
[5],[4],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",536,0.1629034678
[5],[5],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",536,0.2391639353
[5],[6],"despite centuries of erosion,the structure remains an iconic symbol of human ingenuity and endurance.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",536,0.2290594802
Document_Similarity --> 0.1776142376819992
